title,Score,Genre,Date,duree,Descriptions,Acteurs,Public
Star Trek: The Next Generation,8.7,"Action,Adventure,Sci-Fi",1987–1994,44,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.","Gene Roddenberry,Patrick Stewart,Brent Spiner,Jonathan Frakes",TV-PG
The Marvelous Mrs. Maisel,8.7,"Comedy,Drama",2017– ,57,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?","Amy Sherman-Palladino,Rachel Brosnahan,Alex Borstein,Michael Zegen",TV-MA
Peep Show,8.7,Comedy,2003–2015,25,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,"Jesse Armstrong,Sam Bain,Andrew O'Connor,David Mitchell,Robert Webb,Matt King",TV-MA
Severance,8.7,"Drama,Mystery,Sci-Fi",2022– ,55,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Dan Erickson,Adam Scott,Zach Cherry,Britt Lower",TV-MA
Vinland Saga,8.8,"Animation,Action,Adventure",2019– ,24,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,"Ray Chase,Zach Aguilar,Keith Silverstein",TV-MA
Mad Men,8.7,Drama,2007–2015,47,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","Matthew Weiner,Jon Hamm,Elisabeth Moss,Vincent Kartheiser",TV-MA
Panchayat,8.9,"Comedy,Drama",2020– ,35,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.","Jitendra Kumar,Raghuvir Yadav,Chandan Roy",TV-14
Sarabhai V/S Sarabhai,9.0,Comedy,2004–2017,30,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.","Satish Shah,Ratna Pathak Shah,Sumeet Raghavan",TV-PG
Invincible,8.7,"Animation,Action,Adventure",2021– ,50,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,"Robert Kirkman,Ryan Ottley,Cory Walker,Steven Yeun,J.K. Simmons,Sandra Oh",TV-MA
Downton Abbey,8.7,"Drama,Romance",2010–2015,58,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"Julian Fellowes,Hugh Bonneville,Phyllis Logan,Elizabeth McGovern",TV-PG
